Date,Close,High,Low,Open,Volume
2019-06-03,105.16825866699219,105.31503430392888,103.95333785802272,104.25503227459129,3588700
2019-06-04,105.24166107177734,105.8450375110991,104.38550503995931,105.79611644215706,4242400
2019-06-05,107.13334655761719,107.30458274119793,105.07042519928042,105.36396405557778,5084200
2019-06-06,108.40233612060547,108.6405358840709,107.2360145280633,107.66312226978371,5528000
2019-06-07,109.62616729736328,110.64465121434827,108.90337145093052,109.10871004067866,6332700
2019-06-10,109.72470092773438,109.79861979539167,108.71443880447437,109.38794270902434,2957900
2019-06-11,109.40437316894531,110.34071642341199,108.98548705319209,110.1107382579549,3553600
2019-06-12,109.35511016845703,110.4228732569054,108.96086361666153,110.06968439349984,3302800
2019-06-13,109.19084167480469,109.88898530386382,108.29556850366728,109.60972785224017,2851400
2019-06-14,109.0183334350586,109.6836282950511,108.87870473271559,109.24831159572588,3291800
2019-06-17,108.84585571289062,109.43723170485507,108.32839858670431,109.01012403668747,2725800
2019-06-18,108.46802520751953,110.40642147001981,108.30375688687433,110.40642147001981,4378200
2019-06-19,109.11693572998047,109.47832113398448,107.86847354791492,108.46805874343967,4349900
2019-06-20,110.1928482055664,110.43103533501781,109.5193319552787,109.95464854324842,3847500
2019-06-21,110.02861785888672,110.52142287579193,109.75756945979694,110.19288619785512,7696300
2019-06-24,110.17646789550781,111.07996265993529,110.01219953821345,110.5953540865393,3685800
2019-06-25,109.90541076660156,110.45571661305793,109.68364160872856,110.04503948589306,4176300
2019-06-26,108.68159484863281,109.87255594399066,108.66516425526446,109.28938894168505,6024100
2019-06-27,108.16413879394531,108.7801544564217,107.90952099204773,108.6240951500017,4750900
2019-06-28,107.7042007446289,108.75553331798979,107.40029111046555,108.64875324115891,6318500
2019-07-01,108.31197357177734,108.65694082937506,107.65490024275526,108.41054459742698,3544800
2019-07-02,108.77193450927734,108.95263344225145,107.8848829710584,108.49267707936136,3233300
2019-07-03,110.0532455444336,110.13537343857304,109.05119249269758,109.22366984339912,2859200
2019-07-05,109.25653839111328,109.64257586490888,108.04914672334752,109.14975833537864,3356000
2019-07-08,108.87872314453125,109.56044871210236,108.45161540269365,109.32226148144349,5854500
2019-07-09,108.20521545410156,109.56865400991599,107.36743059404652,109.2401173168485,8233200
2019-07-10,110.3982162475586,110.43928646235358,108.31196965152506,108.74728635603797,6141500
2019-07-11,110.34893798828125,110.66926561395046,109.52758381652738,110.2339489055505,3944200
2019-07-12,109.47010040283203,110.41465283728436,108.91979452426122,110.06147650309035,4481200
2019-07-15,110.18467712402344,110.19289868826986,108.87051773044475,109.7329422738737,3077900
2019-07-16,109.89720153808594,111.0799536674513,109.28118584844742,110.12717972625462,4019700
2019-07-17,109.05940246582031,110.29143368439748,108.80478468590685,109.99574569062416,4105100
2019-07-18,109.14154052734375,109.40436733118322,108.02449841206989,108.91977140360433,3698600
2019-07-19,106.84998321533203,109.39618668564141,106.78427336410576,109.37975608961669,5022000
2019-07-22,107.00606536865234,107.44138225961136,106.47218994626874,107.17855533152068,4411700
2019-07-23,107.38388061523438,108.61591223642988,107.11283215462652,107.70420833543027,4145800
2019-07-24,106.12720489501953,107.76169208926822,105.64259628610641,107.76169208926822,4669700
2019-07-25,105.94650268554688,106.39002852245738,105.45368505975934,105.65081461664892,3335200
2019-07-26,107.77810668945312,107.94237503440579,105.71651201462376,106.3160971134931,4580800
2019-07-29,108.03273010253906,108.46804687901475,107.74525108432061,108.00809047616285,4533400
2019-07-30,107.17029571533203,108.48446748782477,106.96495715918448,107.87666084979449,3367900
2019-07-31,104.97728729248047,107.17030169046035,103.6877613386355,107.17030169046035,5757600
2019-08-01,104.42696380615234,106.28321963201697,104.12306052149773,105.92183434166846,6199400
2019-08-02,105.06764221191406,105.80686861331556,103.90132059143315,104.39413192593138,5573300
2019-08-05,102.17647552490234,106.07790215870891,101.74936778240848,105.42082874917614,6192800
2019-08-06,103.86024475097656,104.31199210525078,102.16004166574527,102.48858462645053,6258600
2019-08-07,104.95264434814453,105.41260071975503,102.36537722496433,103.81917774677484,6149000
2019-08-08,106.34074401855469,106.57072222380673,104.31199786068173,105.21549261908062,3702100
2019-08-09,105.62616729736328,106.56251069188049,104.57482853648247,106.53787106567255,2929500
2019-08-12,105.42082214355469,106.07789551191554,105.02656934952837,105.50295004816422,2920800
2019-08-13,106.71855926513672,107.08817873018154,105.08407221260434,105.36332966954618,4088200
2019-08-14,106.05325317382812,107.21136563517072,105.79042633978256,106.38180238247364,6232700
2019-08-15,107.36741638183594,107.77809346024478,106.2832228790591,106.49678298086837,3701800
2019-08-16,108.22163391113281,108.68160282912788,107.30172114088575,107.94237646771803,3405000
2019-08-19,108.88695526123047,109.11693348307618,108.36949799564103,108.47627807466695,3101200
2019-08-20,108.46802520751953,109.32224052746582,108.36124515930887,109.07583178006327,3160300
2019-08-21,108.69804382324219,109.76580710418963,108.10666762249818,109.16622187086209,2936900
2019-08-22,108.96085357666016,109.1826101918713,107.86024193233932,108.21341823033018,2484200
2019-08-23,106.9978256225586,109.5275983102687,106.39822797416731,108.78837193814667,4239500
2019-08-26,109.8479232788086,109.85613230957748,107.26064983927141,107.44957034279828,3954100
2019-08-27,110.68569946289062,111.17851704939075,109.79863532691348,110.22574306635548,7187800
2019-08-28,111.03888702392578,111.1620851526722,110.29145162187291,110.4721505659488,3972600
2019-08-29,111.72061157226562,112.06557886251663,110.48858016442419,111.38385331289979,3045200
2019-08-30,112.30374908447266,112.61586767105764,111.50703455872551,111.79451352351374,3742800
2019-09-03,112.9033432006836,113.07582054801304,111.60560218310455,111.9916396233343,2989800
2019-09-04,114.29141998291016,114.31605960370773,112.73085217900781,113.19080847772139,3201700
2019-09-05,112.45958709716797,114.79181881695763,112.10397009251636,114.79181881695763,4994600
2019-09-06,113.60911560058594,113.65046962758935,112.49263258835728,113.2452203541195,3051600
2019-09-09,112.80692291259766,113.03849037685822,112.0047025473092,112.80692291259766,4062100
2019-09-10,112.36033630371094,112.89790094728697,111.38443399417373,112.26109670661525,4175000
2019-09-11,112.77387237548828,113.12948941071781,111.54987084610514,111.8724122159927,5005100
2019-09-12,113.54298400878906,114.37001430641716,113.0881274406783,113.0881274406783,4146900
2019-09-13,112.84002685546875,113.26180780546706,112.21147569137467,112.54229541444579,4008200
2019-09-16,111.54983520507812,112.88962006431136,111.13632011326746,112.79864623933385,2953600
2019-09-17,112.2280044555664,112.73249342208085,111.24383642093325,111.61601013583042,4013300
2019-09-18,112.0625991821289,112.47611430826223,110.90476187674768,112.31897654121474,2647800
2019-09-19,112.04605102539062,112.34378241030846,111.71524398413956,111.98816547193756,2804500
2019-09-20,111.40923309326172,112.27760462426761,111.21900707950854,111.64906627565384,6671100
2019-09-23,112.01297760009766,112.26935495509564,111.6160066187937,111.6160066187937,3346500
2019-09-24,111.94681549072266,112.84827543733316,111.3017329032876,112.68287191071805,4798500
2019-09-25,111.72352600097656,112.19493935381146,111.24384688772547,111.82277822337849,3579500
2019-09-26,112.24456787109375,112.74905692424865,111.65737072942852,112.3686173843767,4309600
2019-09-27,112.14532470703125,112.67462364607138,111.37617989060045,112.67462364607138,3559400
2019-09-30,113.3858413696289,113.90686179555142,112.36858517437098,112.53400130397576,3705200
2019-10-01,113.60911560058594,114.0805287933658,112.55051813058026,113.2452203541195,3638900
2019-10-02,110.7724380493164,113.61742424003168,110.4002769461139,113.21217485862238,5728600
2019-10-03,114.07227325439453,115.57747432622591,112.88962608608112,114.4940667470074,8829700
2019-10-04,116.01583862304688,116.15643229503287,113.81593444365262,113.99788216492487,5278700
2019-10-07,114.41136932373047,115.46170134415605,114.10537214922482,115.1970455893007,4273300
2019-10-08,113.50163269042969,114.50233219637424,113.36930482567479,113.84070549207946,4074900
2019-10-09,114.00614166259766,114.27078481912308,113.16256715092652,113.56781657563212,3065300
2019-10-10,114.03921508789062,114.33694652031774,113.00542714466896,113.39413242087885,2191000
2019-10-11,113.83244323730469,114.70909328420507,113.37757407538085,114.19633856684375,2761400
2019-10-14,113.67532348632812,114.37830435884773,113.50165417301152,113.9978648305411,2371500
2019-10-15,112.74905395507812,114.08883914118181,112.60846030389904,113.70013385048814,3369300
2019-10-16,112.82347106933594,112.8813692472032,112.12876865181366,112.59190359682852,2812000
2019-10-17,113.27006530761719,113.81589566598261,112.97233392147251,113.36103913725805,2322500
2019-10-18,112.68286895751953,113.60913877787257,112.66632481944757,113.52644332647239,3630400
2019-10-21,112.57533264160156,113.08809988242254,112.1949058643075,112.75728027229968,2829400
2019-10-22,113.02198028564453,113.59263329486355,112.73251459069836,113.0137019049712,3248100
2019-10-23,113.67532348632812,113.71667752932612,112.98062099409741,112.98062099409741,2323600
2019-10-24,114.03921508789062,114.22116277545618,113.12947665006286,113.88207730140385,2292500
2019-10-25,113.00540161132812,114.06399921644062,112.66631621389146,113.94821549774015,2520000
2019-10-28,112.94754028320312,113.75802648791432,112.60017643313104,112.93099614284694,3212600
2019-10-29,112.54225158691406,113.40235729298226,112.42646788379956,113.1625241292012,2550300
2019-10-30,113.22044372558594,113.54298503981047,111.98817664739829,112.36033776081415,2653700
2019-10-31,113.4437484741211,113.74147989670924,112.55883258609718,113.13775129127376,4492300
2019-11-01,113.24522399902344,114.41133945287507,113.05501061205825,113.75799123531063,3054900
2019-11-04,111.78142547607422,113.38586637909151,111.4257958623576,113.1377547494374,3202400
2019-11-05,110.83031463623047,111.73178716193068,109.66421162317904,111.50848547029122,4300800
2019-11-06,111.1859359741211,111.5498312611654,110.449879641501,111.23555576426737,3645600
2019-11-07,110.25968170166016,111.23557136333358,110.09426555200393,111.16114166767655,3338700
2019-11-08,110.1025390625,110.92956929628853,109.63940415069521,110.23485430910145,2604000
2019-11-11,109.49053955078125,110.01983843142054,109.14318834343803,110.01983843142054,2227200
2019-11-12,109.15145111083984,109.73036977387365,108.82890981147241,109.73036977387365,3246500
2019-11-13,110.23485565185547,110.4664357300586,109.17625794926994,109.68902528171108,3166600
2019-11-14,110.26795196533203,110.74763105607097,109.7717287350556,110.4912536809045,2141900
2019-11-15,110.6649169921875,110.75589082550152,109.82962097319893,110.5408675010685,3648700
2019-11-18,110.8716812133789,112.21974465537957,110.74763171481241,110.82206141395231,3619700
2019-11-19,111.29346466064453,111.69870139888806,110.87994954359283,111.35961597423051,3019100
2019-11-20,110.60700988769531,111.81446676428436,110.32581006347516,111.0784104815895,3047700
2019-11-21,110.74764251708984,110.99575415790456,110.06947154016179,110.3506588439934,3391200
2019-11-22,110.87995910644531,111.26038598003409,110.01157476184687,110.75589698894211,3014900
2019-11-25,110.68147277832031,111.46714908354141,110.16871800176202,111.3679094802028,3612400
2019-11-26,112.2280044555664,112.36859808630251,110.71453755602303,111.06188875304409,4947400
2019-11-27,112.40167236328125,112.90616126695754,111.92199335491046,112.22799047666403,2476100
2019-11-29,112.33554077148438,112.82348567891783,111.86412738602729,112.52575423007188,2978400
2019-12-02,112.37688446044922,113.01368872388625,111.185958774803,113.01368872388625,3866300
2019-12-03,112.02951049804688,113.02194416147265,111.0866966248706,113.02194416147265,5000000
2019-12-04,113.55126190185547,113.60914746031143,111.26865021371137,111.60773566296187,4228200
2019-12-05,113.54706573486328,113.71362776536641,112.65595188234397,113.42214738895302,3351800
2019-12-06,114.39657592773438,114.67140906223345,113.54709284908914,113.82192598358823,3216900
2019-12-09,114.23001098632812,114.9628866187004,114.09675625030732,114.2216746229074,3882900
2019-12-10,113.48877716064453,114.60475676744699,113.40548978968434,114.60475676744699,2940200
